task_id,split,title,instruction,documents,primary_metric,gold_status
W01,dev,重点论据转支持段,将Lost in the Middle重点论据批注转为带引用的支持段落,D01,批注用途与主张证据,已预填待人工确认
W02,dev,借鉴方法转化,将借鉴方法批注写成方法参考,D06,批注用途保持,待人工标注
W03,dev,存疑批注转限制,将存疑批注用于限制或争议段落,D07,反证语义保持,待人工标注
W04,dev,背景批注转定义,将背景批注转为定义或背景说明,D08,背景边界,待人工标注
W05,dev,长上下文基准对比段,综合RULER和L-Eval形成评测方法对比段,D03|D20,跨文献归属与边界,待人工标注
W06,dev,RAG方法谱系,综合RAG、GraphRAG和Self-RAG形成方法谱系段,D09|D10|D13,多来源组织,待人工标注
W07,dev,有边界的结论,综合正向证据和局限写出有边界的结论,D01|D07,冲突证据保留,待人工标注
W08,holdout,定点替换,仅替换指定段落并保持其他正文不变,D11,提案范围,已锁定待后测
W09,holdout,过期提案与定位冲突,在正文变化后处理过期提案与锚点冲突,D16,提案生命周期,已锁定待后测
W10,holdout,引用采纳与回退,检查引用后拒绝提案再采纳修改并回退,D18|D20,三层引用与回退,已锁定待后测
