prompt_template_id,version,stage,system_prompt_policy,source,core_scope,notes
ingestion.title_refinement,1.0.0,document_title_refinement,none,app.services.ingestion.run_pipeline,conditional,仅标题置信度低时调用
screening.score_and_recommend,1.0.0,screening_scoring_recommendation,none,app.services.scoring.score_document,S01-S10,包含四维评分与精读建议
reading.pre_read,1.0.0,reading_pre_read,none,app.prompts.templates.pre_read_prompt,R01-R10,生成预读卡与阅读重点
reading.concept_explain,1.0.0,reading_concept_explain,none,app.prompts.templates.concept_explain_prompt,conditional,概念解释
reading.evidence_chat,1.0.0,reading_chat,dynamic,app.api.reading.reading_chat,R01-R10,包含证据片段与历史消息
intent.classifier,1.0.0,intent_classification,none,app.core.intent._llm_classify,conditional,规则无法决定时调用
drafting.chat,1.0.0,drafting_chat,dynamic,app.prompts.templates.drafting_chat_prompt,conditional,起草讨论
drafting.outline,1.0.0,drafting_outline,none,app.api.writing.drafting_outline,conditional,从商讨记录生成大纲
writing.continue,1.0.0,writing_continue,dynamic,app.prompts.templates.writing_strong_prompt,W01-W10,流式续写
writing.proposal,1.0.0,writing_proposal,dynamic,app.prompts.templates.writing_chat_prompt,W01-W10,生成追加替换删除提案
writing.edit_action,1.0.0,writing_edit_action,dynamic,app.prompts.templates.edit_action_prompt,conditional,快捷润色重写逻辑检查
review.generate,1.0.0,writing_review,fixed,app.prompts.templates.review_prompt_v2,W08-W10,五维审查
review.fix,1.0.0,review_fix,none,app.prompts.templates.review_fix_prompt,W08-W10,审查修复
review.check,1.0.0,review_check,none,app.prompts.templates.review_check_prompt,W08-W10,修复后复核
verification.nli,1.0.0,citation_nli_verification,none,app.services.verification.nli_check,W01-W10,引用主张证据支持检查
memory.extract,1.0.0,memory_extraction,none,app.prompts.templates.memory_extract_prompt,M01-M08,每四轮起草商讨提取候选记忆
landscape.report,1.0.0,landscape_report,none,app.services.landscape.generate_landscape,conditional,非核心但影响任务时记录
landscape.graph,1.0.0,landscape_graph,none,app.services.landscape.generate_landscape_graph,conditional,研究图景
docmap.generate,1.0.0,document_map,none,app.services.docmap._generate_map,conditional,文献脉络图谱
docmap.delta,1.0.0,document_map_delta,none,app.services.docmap._generate_delta_edges,conditional,增量文献关系
home.progress,1.0.0,home_progress_summary,none,app.services.home.generate_progress_summary,conditional,项目进展摘要
home.insight,1.0.0,home_document_insight,none,app.services.home.gen_insight_for_doc,conditional,新文献知识提示
