task_id,split,title,instruction,documents,primary_metric,gold_status
S01,dev,首轮必读集,从长上下文核心文献中选出首轮必读文献并说明理由,D01|D03|D05|D06|D07,重要文献召回率,已预填待人工确认
S02,dev,窗口扩展方法优先级,评估上下文窗口扩展方法的阅读优先级,D05|D06,分类和理由可靠性,待人工标注
S03,dev,RAG与GraphRAG直接性,评估RAG与GraphRAG文献对研究问题的直接性,D08|D09|D10|D12|D13,宏平均F1,待人工标注
S04,dev,可靠性文献边界,评估事实性与校验文献的优先级并说明使用边界,D14|D15|D17,边界说明得分,待人工标注
S05,dev,Agent记忆与推理效率,评估Agent记忆和高效推理文献的优先级,D19,边界样本准确性,待人工标注
S06,dev,缺失信息判断,在元数据或正文信息不完整时给出推荐,D07|D08,信息不足识别率,待人工标注
S07,dev,低相关对照识别,识别跨学科低相关文献并说明不纳入理由,D21|D23,低相关识别率,待人工标注
S08,holdout,自动折叠安全,检查自动折叠后的可见文献是否合规,D02|D04|D22|D24,错误折叠数,已锁定待后测
S09,holdout,推荐理由核对,逐条核对保留文献的推荐理由,D11|D16|D18|D20,理由可靠性,已锁定待后测
S10,holdout,阅读预算队列,在固定阅读预算下形成最终阅读队列,D02|D04|D11|D16|D18|D20|D22|D24,Top-N命中率,已锁定待后测
